name,street,zip_code,city
st. elisabeth-krankenhaus gmbh,werthmannstr. 1,50935,köln
diakonie krankenhaus kreuznacher diakonie,ringstraße 64,55543,bad
klinikum kaufbeuren,dr.-gutermann-straße 2,87600,kaufbeuren
helios klinikum pirna,struppener straße 13,01796,pirna
bg unfallklinik frankfurt am main ggmbh,friedberger landstraße 430,60389,frankfurt.de
klinikum am plattenwald,am plattenwald 1,74177,bad
helios marien klinik,grunewaldstr. 96,47053,duisburg
st. martinus-hospital olpe,hospitalweg 6,57462,olpe
agaplesion diakonieklinikum hamburg,hohe weide 17,20259,hamburg
ev. krankenhaus castrop-rauxel,grutholzallee 21,44577,castrop-rauxel
asklepios fachklinikum brandenburg,anton-saefkow-allee 2,14772,brandenburg
euregio-klinik albert-schweitzer-straße gmbh,albert-schweitzer-str. 10,48527,nordhorn
st.-antonius-hospital ggmbh,dechant-deckers-str. 8,52249,eschweiler
